SN,title,DOI,domain,year,authors,author_regions,abstract,keywords,cited_by_count,is_oa,oa_status,oa_url,openalex_countries,openalex_authors,umap_x,umap_y,umap_x_mpnet,umap_y_mpnet,umap_x_minilm,umap_y_minilm,umap_x_specter,umap_y_specter,umap_x3,umap_y3,umap_z3,umap_x3_mpnet,umap_y3_mpnet,umap_z3_mpnet,umap_x3_minilm,umap_y3_minilm,umap_z3_minilm,umap_x3_specter,umap_y3_specter,umap_z3_specter,cluster,cluster_label
2,Artificial intelligence and algorithmic bias: implications for health systems,doi.org/10.7189/jogh.09.020318,Health & Clinical AI,2019,Trishan Panch; Heather Mattie; Rifat Atun,USA; USA; USA,"Algorithmic bias occurs when the application of an algorithm compounds existing inequities in socioeconomic status, race, ethnic background, religion, gender, disability or sexual orientation to amplify them and adversely impact equity in health systems.",Computer science; MEDLINE; Data science; Artificial intelligence; Biology,499,TRUE,gold,https://doi.org/10.7189/jogh.09.020318,USA; USA; USA,Trishan Panch; Heather Mattie; Rifat Atun,5.82966,3.53877,5.82966,3.53877,3.12452,9.1541,6.92103,5.5981,8.79358,3.19522,2.86734,8.79358,3.19522,2.86734,-0.85022,3.99655,2.80282,4.94743,1.71418,5.0196,2,Health care · Medicine
3,Artificial Intelligence in Clinical Decision Support: Challenges for Evaluating AI and Practical Implications,doi.org/10.1055/s-0039-1677903,Health & Clinical AI,2019,Farah Magrabi; Elske Ammenwerth; Jytte Brender McNair; N. F. de Keizer; Hannele Hyppönen; Pirkko Nykänen; Michael Rigby; Philip Scott; Tuulikki Vehko; Zoie Shui-Yee Wong; Andrew Georgiou,Australia; Austria; Denmark; Netherlands; Finland; Finland; United Kingdom; United Kingdom; Finland; Japan; Australia,"OBJECTIVES: This paper draws attention to: i) key considerations for evaluating artificial intelligence (AI) enabled clinical decision support; and ii) challenges and practical implications of AI design, development, selection, use, and ongoing surveillance. METHOD: A narrative review of existing research and evaluation approaches along with expert perspectives drawn from the International Medical Informatics Association (IMIA) Working Group on Technology Assessment and Quality Development in Health Informatics and the European Federation for Medical Informatics (EFMI) Working Group for Assessment of Health Information Systems. RESULTS: There is a rich history and tradition of evaluating AI in healthcare. While evaluators can learn from past efforts, and build on best practice evaluation frameworks and methodologies, questions remain about how to evaluate the safety and effectiveness of AI that dynamically harness vast amounts of genomic, biomarker, phenotype, electronic record, and care delivery data from across health systems. This paper first provides a historical perspective about the evaluation of AI in healthcare. It then examines key challenges of evaluating AI-enabled clinical decision support during design, development, selection, use, and ongoing surveillance. Practical aspects of evaluating AI in healthcare, including approaches to evaluation and indicators to monitor AI are also discussed. CONCLUSION: Commitment to rigorous initial and ongoing evaluation will be critical to ensuring the safe and effective integration of AI in complex sociotechnical settings. Specific enhancements that are required for the new generation of AI-enabled clinical decision support will emerge through practical application.",Clinical decision support system; Decision support system; Health informatics; Computer science; Health care; Informatics; Health Administration Informatics; Sociotechnical system; Quality (philosophy); Knowledge management; Data science; Management science; Artificial intelligence; Engineering; Political science,335,TRUE,hybrid,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0039-1677903.pdf,Australia; Austria; Denmark; Netherlands; Finland; Finland; United Kingdom; United Kingdom; Finland; Japan; Australia,Farah Magrabi; Elske Ammenwerth; Jytte Brender McNair; N. F. de Keizer; Hannele Hyppönen; Pirkko Nykänen; Michael Rigby; Philip Scott; Tuulikki Vehko; Zoie Shui-Yee Wong; Andrew Georgiou,6.65486,4.1156,6.65486,4.1156,5.21334,10.31849,7.65119,4.47993,8.57203,4.04223,3.10915,8.57203,4.04223,3.10915,0.86664,3.5438,4.52608,5.72239,2.45081,4.87489,2,Health care · Medicine
4,Artificial intelligence bias in medical system designs: a systematic review,doi.org/10.1007/s11042-023-16029-x,Health & Clinical AI,2023,Ashish Kumar; Vivekanand Aelgani; Rubeena Vohra; Suneet Kumar Gupta; Mrinalini Bhagawati; Sudip Paul; Luca Saba; Neha Suri; Narendra N. Khanna; John R. Laird; Amer M. Johri; Manudeep Kalra; Mostafa M. Fouda; Mostafa Fatemi; Subbaram Naidu; Jasjit S. Suri,India; India; India; India; India; India; Italy; USA; India; USA; USA; Canada; USA; USA; USA; USA,"Fairness emerged as an important requirement to guarantee that Machine Learning (ML) predictive systems do not discriminate against specific individuals or entire sub-populations, in particular, minorities. Given the inherent subjectivity of viewing the concept of fairness, several notions of fairness have been introduced in the literature. This paper is a survey that illustrates the subtleties between fairness notions through a large number of examples and scenarios. In addition, unlike other surveys in the literature, it addresses the question of “which notion of fairness is most suited to a given real-world scenario and why?”. Our attempt to answer this question consists in (1) identifying the set of fairness-related characteristics of the real-world scenario at hand, (2) analyzing the behavior of each fairness notion, and then (3) fitting these two elements to recommend the most suitable fairness notion in every specific setup. The results are summarized in a decision diagram that can be used by practitioners and policy makers to navigate the relatively large catalogue of ML fairness notions.",Computer science; Artificial intelligence; Machine learning; Selection bias; Ranking (information retrieval); Process (computing); Protocol (science); Data mining; Statistics,57,TRUE,bronze,https://link.springer.com/content/pdf/10.1007/s11042-023-16029-x.pdf,India; India; India; India; India; India; Italy; ; ; USA; Canada; USA; USA; USA; USA;,Ashish Kumar; Vivekanand Aelgani; Rubeena Vohra; Suneet Kumar Gupta; Mrinalini Bhagawati; Sudip Paul; Luca Saba; Neha Suri; Narendra N. Khanna; John R. Laird; Amer M. Johri; Manudeep Kalra; Mostafa M. Fouda; Mostafa Fatemi; Subbaram Naidu; Jasjit S. Suri,5.03168,0.26787,5.03168,0.26787,1.88574,7.87106,3.71559,5.82675,8.22121,0.81892,6.35709,8.22121,0.81892,6.35709,-1.33876,5.31416,1.89679,2.05886,2.12947,6.17614,4,Psychology · Mathematics
5,Inherent Bias in Artificial Intelligence-Based Decision Support Systems for Healthcare,doi.org/10.3390/medicina56030141,Health & Clinical AI,2020,Varadraj P. Gurupur; Thomas T. H. Wan,USA; USA,"The objective of this article is to discuss the inherent bias involved with artificial intelligence-based decision support systems for healthcare. In this article, the authors describe some relevant work published in this area. A proposed overview of solutions is also presented. The authors believe that the information presented in this article will enhance the readers' understanding of this inherent bias and add to the discussion on this topic. Finally, the authors discuss an overview of the need to implement transdisciplinary solutions that can be used to mitigate this bias.",Computer science; Decision support system; Health care; Applications of artificial intelligence; Artificial intelligence; Work (physics); Management science; Data science; Engineering; Political science,46,TRUE,gold,https://www.mdpi.com/1648-9144/56/3/141/pdf?version=1616053024,USA; USA,Varadraj P. Gurupur; Thomas T. H. Wan,6.49567,4.22472,6.49567,4.22472,5.02867,10.55879,7.63896,4.491,8.69104,3.95925,3.02967,8.69104,3.95925,3.02967,0.81964,3.39606,4.36794,5.68374,2.47148,4.88424,2,Health care · Medicine
6,Algorithmic bias in data-driven innovation in the age of AI,doi.org/10.1016/j.ijinfomgt.2021.102387,General Fairness & Bias Mitigation,2021,Shahriar Akter; Grace McCarthy; Shahriar Sajib; Katina Michael; Yogesh K. Dwivedi; John D'Ambra; Kathy Ning Shen,Australia; Australia; Australia; USA; United Kingdom; Australia; United Arab Emirates,"Until now, much of the work on machine learning and health has focused on processes inside the hospital or clinic. However, this represents only a narrow set of tasks and challenges related to health; there is greater potential for impact by leveraging machine learning in health tasks more broadly. In this Perspective we aim to highlight potential opportunities and challenges for machine learning within a holistic view of health and its influences. To do so, we build on research in population and public health that focuses on the mechanisms between different cultural, social and environmental factors and their effect on the health of individuals and communities. We present a brief introduction to research in these fields, data sources and types of tasks, and use these to identify settings where machine learning is relevant and can contribute to new knowledge. Given the key foci of health equity and disparities within public and population health, we juxtapose these topics with the machine learning subfield of algorithmic fairness to highlight specific opportunities where machine learning, public and population health may synergize to achieve health equity.",Process (computing); Product (mathematics); Thematic analysis; Data science; Computer science; Big data; Data mining; Sociology; Mathematics; Social science,403,FALSE,closed,,Australia; Australia; Australia; USA; India; Australia; United Arab Emirates,Shahriar Akter; Grace McCarthy; Shahriar Sajib; Katina Michael; Yogesh K. Dwivedi; John D’Ambra; Kathy Ning Shen,5.78546,4.07533,5.78546,4.07533,4.83684,11.38725,7.1368,5.59785,8.87143,3.60126,2.73304,8.87143,3.60126,2.73304,0.96153,3.50823,3.60062,5.20415,1.70449,4.80319,2,Health care · Medicine
7,Fairness Constraints: Mechanisms for Fair Classification,doi.org/10.48550/arXiv.1507.05259,General Fairness & Bias Mitigation,2015,Muhammad Bilal Zafar; Isabel Valera; Manuel Gomez-Rodriguez; Krishna P. Gummadi,Germany; Germany; Germany; Germany,"Algorithmic decision making systems are ubiquitous across a wide variety of online as well as offline services. These systems rely on complex learning methods and vast amounts of data to optimize the service functionality, satisfaction of the end user and profitability. However, there is a growing concern that these automated decisions can lead, even in the absence of intent, to a lack of fairness, i.e., their outcomes can disproportionately hurt (or, benefit) particular groups of people sharing one or more sensitive attributes (e.g., race, sex). In this paper, we introduce a flexible mechanism to design fair classifiers by leveraging a novel intuitive measure of decision boundary (un)fairness. We instantiate this mechanism with two well-known classifiers, logistic regression and support vector machines, and show on real-world data that our mechanism allows for a fine-grained control on the degree of fairness, often at a small cost in terms of accuracy.",Computer science; Variety (cybernetics); Mechanism (biology); Decision boundary; Machine learning; Profitability index; Support vector machine; Service (business); Artificial intelligence; Business,335,TRUE,green,https://arxiv.org/pdf/1507.05259,Germany; Germany; Germany; Germany,Muhammad Bilal Zafar; Isabel Valera; Manuel Gomez-Rodriguez; Krishna P. Gummadi,5.12134,-0.04337,5.12134,-0.04337,1.86578,7.43287,3.8085,5.82728,8.24387,0.75952,6.52903,8.24387,0.75952,6.52903,-1.2888,5.74278,1.91265,1.97079,2.49653,6.104,4,Psychology · Mathematics
8,Bias Mitigation for Machine Learning Classifiers: A Comprehensive Survey,doi.org/10.48550/arXiv.2207.07068,General Fairness & Bias Mitigation,2022,Max Hort; Zhenpeng Chen; Jie M. Zhang; Federica Sarro; Mark Harman,Norway; United Kingdom; United Kingdom; United Kingdom; United Kingdom,"This paper provides a comprehensive survey of bias mitigation methods for achieving fairness in Machine Learning (ML) models. We collect a total of 341 publications concerning bias mitigation for ML classifiers. These methods can be distinguished based on their intervention procedure (i.e., pre-processing, in-processing, post-processing) and the technique they apply. We investigate how existing bias mitigation methods are evaluated in the literature. In particular, we consider datasets, metrics and benchmarking. Based on the gathered insights (e.g., What is the most popular fairness metric? How many datasets are used for evaluating bias mitigation methods?), we hope to support practitioners in making informed choices when developing and evaluating new bias mitigation methods.",Benchmarking; Computer science; Metric (unit); Machine learning; Artificial intelligence; Data mining; Engineering; Marketing; Operations management; Business,23,TRUE,green,https://arxiv.org/pdf/2207.07068,; ; ; ;,Max Hort; Zhenpeng Chen; Jie M. Zhang; Mark Harman; Federica Sarro,5.74707,-0.36172,5.74707,-0.36172,2.52602,7.51358,3.64067,5.35362,7.83548,0.94016,7.06993,7.83548,0.94016,7.06993,-1.16521,5.718,2.4621,2.27861,2.26695,6.52108,4,Psychology · Mathematics
9,Fairness And Bias in Artificial Intelligence: A Brief Survey of Sources Impacts And Mitigation Strategies,doi.org/10.3390/sci6010003,General Fairness & Bias Mitigation,2023,Emilio Ferrara,USA,"The significant advancements in applying artificial intelligence (AI) to healthcare decision-making, medical diagnosis, and other domains have simultaneously raised concerns about the fairness and bias of AI systems. This is particularly critical in areas like healthcare, employment, criminal justice, credit scoring, and increasingly, in generative AI models (GenAI) that produce synthetic media. Such systems can lead to unfair outcomes and perpetuate existing inequalities, including generative biases that affect the representation of individuals in synthetic data. This survey study offers a succinct, comprehensive overview of fairness and bias in AI, addressing their sources, impacts, and mitigation strategies. We review sources of bias, such as data, algorithm, and human decision biases—highlighting the emergent issue of generative AI bias, where models may reproduce and amplify societal stereotypes. We assess the societal impact of biased AI systems, focusing on perpetuating inequalities and reinforcing harmful stereotypes, especially as generative AI becomes more prevalent in creating content that influences public perception. We explore various proposed mitigation strategies, discuss the ethical considerations of their implementation, and emphasize the need for interdisciplinary collaboration to ensure effectiveness. Through a systematic literature review spanning multiple academic disciplines, we present definitions of AI bias and its different types, including a detailed look at generative AI bias. We discuss the negative impacts of AI bias on individuals and society and provide an overview of current approaches to mitigate AI bias, including data pre-processing, model selection, and post-processing. We emphasize the unique challenges presented by generative AI models and the importance of strategies specifically tailored to address these. Addressing bias in AI requires a holistic approach involving diverse and representative datasets, enhanced transparency and accountability in AI systems, and the exploration of alternative AI paradigms that prioritize fairness and ethical considerations. This survey contributes to the ongoing discussion on developing fair and unbiased AI systems by providing an overview of the sources, impacts, and mitigation strategies related to AI bias, with a particular focus on the emerging field of generative AI.",Generative grammar; Artificial intelligence; Generative model; Computer science; Selection bias; Perception; Representation (politics); Data science; Machine learning; Management science; Psychology; Political science; Economics,668,TRUE,gold,https://www.mdpi.com/2413-4155/6/1/3/pdf?version=1703577406,USA,Emilio Ferrara,7.07965,0.86379,7.07965,0.86379,4.29906,8.57034,6.54219,4.30291,7.40121,2.42737,6.12766,7.40121,2.42737,6.12766,-0.39274,4.83437,3.8933,4.70912,2.95732,5.3539,4,Psychology · Mathematics
10,Enforcing Group Fairness in Algorithmic Decision Making: Utility Maximization Under Sufficiency,doi.org/10.48550/arXiv.2206.02237,General Fairness & Bias Mitigation,2022,Joachim Baumann; Anikó Hannák; Christoph Heitz,Switzerland; Switzerland; Switzerland,"Binary decision making classifiers are not fair by default. Fairness requirements are an additional element to the decision making rationale, which is typically driven by maximizing some utility function. In that sense, algorithmic fairness can be formulated as a constrained optimization problem. This paper contributes to the discussion on how to implement fairness, focusing on the fairness concepts of positive predictive value (PPV) parity, false omission rate (FOR) parity, and sufficiency (which combines the former two). We show that group-specific threshold rules are optimal for PPV parity and FOR parity, similar to well-known results for other group fairness criteria. However, depending on the underlying population distributions and the utility function, we find that sometimes an upper-bound threshold rule for one group is optimal: utility maximization under PPV parity (or FOR parity) might thus lead to selecting the individuals with the smallest utility for one group, instead of selecting the most promising individuals. This result is counter-intuitive and in contrast to the analogous solutions for statistical parity and equality of opportunity. We also provide a solution for the optimal decision rules satisfying the fairness constraint sufficiency. We show that more complex decision rules are required and that this leads to within-group unfairness for all but one of the groups. We illustrate our findings based on simulated and real data.",Maximization; Population; Decision rule; Parity (physics); Optimal decision; Constraint (computer-aided design); Binary number; Group (periodic table); Admissible decision rule,0,TRUE,green,https://doi.org/10.48550/arxiv.2206.02237,; ;,"Baumann, Joachim; Hannák, Anikó; Heitz, Christoph",4.91445,-0.45524,4.91445,-0.45524,1.45542,7.64312,3.69289,6.19022,8.31242,0.43605,6.78344,8.31242,0.43605,6.78344,-1.27753,5.43013,1.45821,1.83665,1.83053,5.92536,4,Psychology · Mathematics
11,Semantic Web technologies and bias in artificial intelligence: A systematic literature review,doi.org/10.3233/SW-223041,Graph-Based Fairness & Bias Mitigation,2023,Paula Reyero Lobo; Enrico Daga; Harith Alani; Miriam Fernández,United Kingdom; United Kingdom; United Kingdom; United Kingdom,"Bias in Artificial Intelligence (AI) is a critical and timely issue due to its sociological, economic and legal impact, as decisions made by biased algorithms could lead to unfair treatment of specific individuals or groups. Multiple surveys have emerged to provide a multidisciplinary view of bias or to review bias in specific areas such as social sciences, business research, criminal justice, or data mining. Given the ability of Semantic Web (SW) technologies to support multiple AI systems, we review the extent to which semantics can be a “tool” to address bias in different algorithmic scenarios. We provide an in-depth categorisation and analysis of bias assessment, representation, and mitigation approaches that use SW technologies. We discuss their potential in dealing with issues such as representing disparities of specific demographics or reducing data drifts, sparsity, and missing values. We find research works on AI bias that apply semantics mainly in information retrieval, recommendation and natural language processing applications and argue through multiple use cases that semantics can help deal with technical, sociological, and psychological challenges.",Semantics (computer science); Data science; Computer science; Multidisciplinary approach; Semantic Web; Cognitive bias; Distributional semantics; Artificial intelligence; Psychology; Cognition; Sociology; Social science,24,TRUE,hybrid,https://content.iospress.com:443/download/semantic-web/sw223041?id=semantic-web%2Fsw223041,United Kingdom; United Kingdom; United Kingdom; United Kingdom,Paula Reyero Lobo; Enrico Daga; Harith Alani; Miriam Fernández,6.37222,0.73835,6.37222,0.73835,3.76406,8.22261,5.26143,3.54792,7.65143,2.00576,6.18841,7.65143,2.00576,6.18841,-0.57293,5.10445,3.45361,4.30795,3.53941,6.20193,4,Psychology · Mathematics
