SN,title,DOI,domain,year,authors,author_regions,abstract,keywords,cited_by_count,is_oa,oa_status,oa_url,openalex_countries,openalex_authors,umap_x,umap_y,umap_x_mpnet,umap_y_mpnet,umap_x_minilm,umap_y_minilm,umap_x_specter,umap_y_specter,umap_x3,umap_y3,umap_z3,umap_x3_mpnet,umap_y3_mpnet,umap_z3_mpnet,umap_x3_minilm,umap_y3_minilm,umap_z3_minilm,umap_x3_specter,umap_y3_specter,umap_z3_specter,cluster,cluster_label
2,Artificial intelligence and algorithmic bias: implications for health systems,doi.org/10.7189/jogh.09.020318,Health & Clinical AI,2019,Trishan Panch; Heather Mattie; Rifat Atun,USA; USA; USA,"Algorithmic bias occurs when the application of an algorithm compounds existing inequities in socioeconomic status, race, ethnic background, religion, gender, disability or sexual orientation to amplify them and adversely impact equity in health systems.",Computer science; MEDLINE; Data science; Artificial intelligence; Biology,499,TRUE,gold,https://doi.org/10.7189/jogh.09.020318,USA; USA; USA,Trishan Panch; Heather Mattie; Rifat Atun,1.59027,10.16649,1.59027,10.16649,5.3517,0.07996,2.70942,6.74611,10.80791,2.47766,3.23897,10.80791,2.47766,3.23897,3.6844,-1.63758,2.95586,3.22133,2.74525,4.85037,2,Health care · Medicine
3,Artificial Intelligence in Clinical Decision Support: Challenges for Evaluating AI and Practical Implications,doi.org/10.1055/s-0039-1677903,Health & Clinical AI,2019,Farah Magrabi; Elske Ammenwerth; Jytte Brender McNair; N. F. de Keizer; Hannele Hyppönen; Pirkko Nykänen; Michael Rigby; Philip Scott; Tuulikki Vehko; Zoie Shui-Yee Wong; Andrew Georgiou,Australia; Austria; Denmark; Netherlands; Finland; Finland; UK; UK; Finland; Japan; Australia,"OBJECTIVES: This paper draws attention to: i) key considerations for evaluating artificial intelligence (AI) enabled clinical decision support; and ii) challenges and practical implications of AI design, development, selection, use, and ongoing surveillance. METHOD: A narrative review of existing research and evaluation approaches along with expert perspectives drawn from the International Medical Informatics Association (IMIA) Working Group on Technology Assessment and Quality Development in Health Informatics and the European Federation for Medical Informatics (EFMI) Working Group for Assessment of Health Information Systems. RESULTS: There is a rich history and tradition of evaluating AI in healthcare. While evaluators can learn from past efforts, and build on best practice evaluation frameworks and methodologies, questions remain about how to evaluate the safety and effectiveness of AI that dynamically harness vast amounts of genomic, biomarker, phenotype, electronic record, and care delivery data from across health systems. This paper first provides a historical perspective about the evaluation of AI in healthcare. It then examines key challenges of evaluating AI-enabled clinical decision support during design, development, selection, use, and ongoing surveillance. Practical aspects of evaluating AI in healthcare, including approaches to evaluation and indicators to monitor AI are also discussed. CONCLUSION: Commitment to rigorous initial and ongoing evaluation will be critical to ensuring the safe and effective integration of AI in complex sociotechnical settings. Specific enhancements that are required for the new generation of AI-enabled clinical decision support will emerge through practical application.",Clinical decision support system; Decision support system; Health informatics; Computer science; Health care; Informatics; Health Administration Informatics; Sociotechnical system; Quality (philosophy); Knowledge management; Data science; Management science; Artificial intelligence; Engineering; Political science,335,TRUE,hybrid,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0039-1677903.pdf,Australia; Austria; Denmark; Netherlands; Finland; Finland; United Kingdom; United Kingdom; Finland; Japan; Australia,Farah Magrabi; Elske Ammenwerth; Jytte Brender McNair; N. F. de Keizer; Hannele Hyppönen; Pirkko Nykänen; Michael Rigby; Philip Scott; Tuulikki Vehko; Zoie Shui-Yee Wong; Andrew Georgiou,2.42523,9.97088,2.42523,9.97088,3.47021,2.37582,3.5088,5.49387,10.0898,2.19845,3.69938,10.0898,2.19845,3.69938,1.75915,0.1683,3.22848,4.12291,2.91165,4.13235,2,Health care · Medicine
4,Artificial intelligence bias in medical system designs: a systematic review,doi.org/10.1007/s11042-023-16029-x,Health & Clinical AI,2023,Ashish Kumar; Vivekanand Aelgani; Rubeena Vohra; Suneet Kumar Gupta; Mrinalini Bhagawati; Sudip Paul; Luca Saba; Neha Suri; Narendra N. Khanna; John R. Laird; Amer M. Johri; Manudeep Kalra; Mostafa M. Fouda; Mostafa Fatemi; Subbaram Naidu; Jasjit S. Suri,India; India; India; India; India; India; Italy; USA; India; USA; USA; Canada; USA; USA; USA; USA,"Fairness emerged as an important requirement to guarantee that Machine Learning (ML) predictive systems do not discriminate against specific individuals or entire sub-populations, in particular, minorities. Given the inherent subjectivity of viewing the concept of fairness, several notions of fairness have been introduced in the literature. This paper is a survey that illustrates the subtleties between fairness notions through a large number of examples and scenarios. In addition, unlike other surveys in the literature, it addresses the question of “which notion of fairness is most suited to a given real-world scenario and why?”. Our attempt to answer this question consists in (1) identifying the set of fairness-related characteristics of the real-world scenario at hand, (2) analyzing the behavior of each fairness notion, and then (3) fitting these two elements to recommend the most suitable fairness notion in every specific setup. The results are summarized in a decision diagram that can be used by practitioners and policy makers to navigate the relatively large catalogue of ML fairness notions.",Computer science; Artificial intelligence; Machine learning; Selection bias; Ranking (information retrieval); Process (computing); Protocol (science); Data mining; Statistics,57,TRUE,bronze,https://link.springer.com/content/pdf/10.1007/s11042-023-16029-x.pdf,India; India; India; India; India; India; Italy; ; ; USA; Canada; USA; USA; USA; USA;,Ashish Kumar; Vivekanand Aelgani; Rubeena Vohra; Suneet Kumar Gupta; Mrinalini Bhagawati; Sudip Paul; Luca Saba; Neha Suri; Narendra N. Khanna; John R. Laird; Amer M. Johri; Manudeep Kalra; Mostafa M. Fouda; Mostafa Fatemi; Subbaram Naidu; Jasjit S. Suri,7.57698,11.34224,7.57698,11.34224,7.18614,-0.2207,6.15734,8.92755,7.97842,-1.50069,1.02036,7.97842,-1.50069,1.02036,5.27782,-1.5246,2.34222,7.35379,2.69865,7.84287,5,Psychology · Mathematics
5,Inherent Bias in Artificial Intelligence-Based Decision Support Systems for Healthcare,doi.org/10.3390/medicina56030141,Health & Clinical AI,2020,Varadraj P. Gurupur; Thomas T. H. Wan,USA; USA,"The objective of this article is to discuss the inherent bias involved with artificial intelligence-based decision support systems for healthcare. In this article, the authors describe some relevant work published in this area. A proposed overview of solutions is also presented. The authors believe that the information presented in this article will enhance the readers' understanding of this inherent bias and add to the discussion on this topic. Finally, the authors discuss an overview of the need to implement transdisciplinary solutions that can be used to mitigate this bias.",Computer science; Decision support system; Health care; Applications of artificial intelligence; Artificial intelligence; Work (physics); Management science; Data science; Engineering; Political science,46,TRUE,gold,https://www.mdpi.com/1648-9144/56/3/141/pdf?version=1616053024,USA; USA,Varadraj P. Gurupur; Thomas T. H. Wan,2.11777,10.07328,2.11777,10.07328,3.37162,1.74759,3.547,5.50461,10.32741,2.40836,3.59843,10.32741,2.40836,3.59843,1.78005,-0.07866,3.32557,4.05709,2.92938,4.15124,2,Health care · Medicine
6,Algorithmic bias in data-driven innovation in the age of AI,doi.org/10.1016/j.ijinfomgt.2021.102387,General Fairness & Bias Mitigation,2021,Shahriar Akter; Grace McCarthy; Shahriar Sajib; Katina Michael; Yogesh K. Dwivedi; John D'Ambra; Kathy Ning Shen,Australia; Australia; Australia; USA; UK; Australia; United Arab Emirates,"Until now, much of the work on machine learning and health has focused on processes inside the hospital or clinic. However, this represents only a narrow set of tasks and challenges related to health; there is greater potential for impact by leveraging machine learning in health tasks more broadly. In this Perspective we aim to highlight potential opportunities and challenges for machine learning within a holistic view of health and its influences. To do so, we build on research in population and public health that focuses on the mechanisms between different cultural, social and environmental factors and their effect on the health of individuals and communities. We present a brief introduction to research in these fields, data sources and types of tasks, and use these to identify settings where machine learning is relevant and can contribute to new knowledge. Given the key foci of health equity and disparities within public and population health, we juxtapose these topics with the machine learning subfield of algorithmic fairness to highlight specific opportunities where machine learning, public and population health may synergize to achieve health equity.",Process (computing); Product (mathematics); Thematic analysis; Data science; Computer science; Big data; Data mining; Sociology; Mathematics; Social science,403,FALSE,closed,,Australia; Australia; Australia; USA; India; Australia; United Arab Emirates,Shahriar Akter; Grace McCarthy; Shahriar Sajib; Katina Michael; Yogesh K. Dwivedi; John D’Ambra; Kathy Ning Shen,1.46309,9.96681,1.46309,9.96681,2.77741,1.08784,2.82732,6.89236,11.00107,2.37461,3.36606,11.00107,2.37461,3.36606,1.68619,-0.5186,4.24674,3.35143,2.87158,5.24677,2,Health care · Medicine
7,Fairness Constraints: Mechanisms for Fair Classification,doi.org/10.48550/arXiv.1507.05259,General Fairness & Bias Mitigation,2015,Muhammad Bilal Zafar; Isabel Valera; Manuel Gomez-Rodriguez; Krishna P. Gummadi,Germany; Germany; Germany; Germany,"Algorithmic decision making systems are ubiquitous across a wide variety of online as well as offline services. These systems rely on complex learning methods and vast amounts of data to optimize the service functionality, satisfaction of the end user and profitability. However, there is a growing concern that these automated decisions can lead, even in the absence of intent, to a lack of fairness, i.e., their outcomes can disproportionately hurt (or, benefit) particular groups of people sharing one or more sensitive attributes (e.g., race, sex). In this paper, we introduce a flexible mechanism to design fair classifiers by leveraging a novel intuitive measure of decision boundary (un)fairness. We instantiate this mechanism with two well-known classifiers, logistic regression and support vector machines, and show on real-world data that our mechanism allows for a fine-grained control on the degree of fairness, often at a small cost in terms of accuracy.",Computer science; Variety (cybernetics); Mechanism (biology); Decision boundary; Machine learning; Profitability index; Support vector machine; Service (business); Artificial intelligence; Business,335,TRUE,green,https://arxiv.org/pdf/1507.05259,Germany; Germany; Germany; Germany,Muhammad Bilal Zafar; Isabel Valera; Manuel Gomez-Rodriguez; Krishna P. Gummadi,7.8206,11.22064,7.8206,11.22064,7.27421,0.22603,6.41728,9.20104,7.802,-1.77878,1.09103,7.802,-1.77878,1.09103,5.41869,-1.80069,1.93964,7.45881,2.75141,7.70304,5,Psychology · Mathematics
8,Bias Mitigation for Machine Learning Classifiers: A Comprehensive Survey,doi.org/10.48550/arXiv.2207.07068,General Fairness & Bias Mitigation,2022,Max Hort; Zhenpeng Chen; Jie M. Zhang; Federica Sarro; Mark Harman,Norway; UK; UK; UK; UK,"This paper provides a comprehensive survey of bias mitigation methods for achieving fairness in Machine Learning (ML) models. We collect a total of 341 publications concerning bias mitigation for ML classifiers. These methods can be distinguished based on their intervention procedure (i.e., pre-processing, in-processing, post-processing) and the technique they apply. We investigate how existing bias mitigation methods are evaluated in the literature. In particular, we consider datasets, metrics and benchmarking. Based on the gathered insights (e.g., What is the most popular fairness metric? How many datasets are used for evaluating bias mitigation methods?), we hope to support practitioners in making informed choices when developing and evaluating new bias mitigation methods.",Benchmarking; Computer science; Metric (unit); Machine learning; Artificial intelligence; Data mining; Engineering; Marketing; Operations management; Business,23,TRUE,green,https://arxiv.org/pdf/2207.07068,; ; ; ;,Max Hort; Zhenpeng Chen; Jie M. Zhang; Mark Harman; Federica Sarro,7.84079,10.51634,7.84079,10.51634,7.13909,0.59945,5.7267,9.26906,7.96086,-1.9856,1.74469,7.96086,-1.9856,1.74469,5.25178,-2.00671,1.50589,7.45177,2.87842,7.28125,5,Psychology · Mathematics
9,Fairness And Bias in Artificial Intelligence: A Brief Survey of Sources Impacts And Mitigation Strategies,doi.org/10.3390/sci6010003,General Fairness & Bias Mitigation,2023,Emilio Ferrara,USA,"The significant advancements in applying artificial intelligence (AI) to healthcare decision-making, medical diagnosis, and other domains have simultaneously raised concerns about the fairness and bias of AI systems. This is particularly critical in areas like healthcare, employment, criminal justice, credit scoring, and increasingly, in generative AI models (GenAI) that produce synthetic media. Such systems can lead to unfair outcomes and perpetuate existing inequalities, including generative biases that affect the representation of individuals in synthetic data. This survey study offers a succinct, comprehensive overview of fairness and bias in AI, addressing their sources, impacts, and mitigation strategies. We review sources of bias, such as data, algorithm, and human decision biases—highlighting the emergent issue of generative AI bias, where models may reproduce and amplify societal stereotypes. We assess the societal impact of biased AI systems, focusing on perpetuating inequalities and reinforcing harmful stereotypes, especially as generative AI becomes more prevalent in creating content that influences public perception. We explore various proposed mitigation strategies, discuss the ethical considerations of their implementation, and emphasize the need for interdisciplinary collaboration to ensure effectiveness. Through a systematic literature review spanning multiple academic disciplines, we present definitions of AI bias and its different types, including a detailed look at generative AI bias. We discuss the negative impacts of AI bias on individuals and society and provide an overview of current approaches to mitigate AI bias, including data pre-processing, model selection, and post-processing. We emphasize the unique challenges presented by generative AI models and the importance of strategies specifically tailored to address these. Addressing bias in AI requires a holistic approach involving diverse and representative datasets, enhanced transparency and accountability in AI systems, and the exploration of alternative AI paradigms that prioritize fairness and ethical considerations. This survey contributes to the ongoing discussion on developing fair and unbiased AI systems by providing an overview of the sources, impacts, and mitigation strategies related to AI bias, with a particular focus on the emerging field of generative AI.",Generative grammar; Artificial intelligence; Generative model; Computer science; Selection bias; Perception; Representation (politics); Data science; Machine learning; Management science; Psychology; Political science; Economics,668,TRUE,gold,https://www.mdpi.com/2413-4155/6/1/3/pdf?version=1703577406,USA,Emilio Ferrara,5.54362,9.97943,5.54362,9.97943,4.97896,1.34516,4.46874,5.98067,9.39252,-0.77303,2.49043,9.39252,-0.77303,2.49043,3.45495,-0.87709,1.84265,5.36948,2.08018,4.449,5,Psychology · Mathematics
10,Enforcing Group Fairness in Algorithmic Decision Making: Utility Maximization Under Sufficiency,doi.org/10.48550/arXiv.2206.02237,General Fairness & Bias Mitigation,2022,Joachim Baumann; Anikó Hannák; Christoph Heitz,Switzerland; Switzerland; Switzerland,"Binary decision making classifiers are not fair by default. Fairness requirements are an additional element to the decision making rationale, which is typically driven by maximizing some utility function. In that sense, algorithmic fairness can be formulated as a constrained optimization problem. This paper contributes to the discussion on how to implement fairness, focusing on the fairness concepts of positive predictive value (PPV) parity, false omission rate (FOR) parity, and sufficiency (which combines the former two). We show that group-specific threshold rules are optimal for PPV parity and FOR parity, similar to well-known results for other group fairness criteria. However, depending on the underlying population distributions and the utility function, we find that sometimes an upper-bound threshold rule for one group is optimal: utility maximization under PPV parity (or FOR parity) might thus lead to selecting the individuals with the smallest utility for one group, instead of selecting the most promising individuals. This result is counter-intuitive and in contrast to the analogous solutions for statistical parity and equality of opportunity. We also provide a solution for the optimal decision rules satisfying the fairness constraint sufficiency. We show that more complex decision rules are required and that this leads to within-group unfairness for all but one of the groups. We illustrate our findings based on simulated and real data.",Maximization; Population; Decision rule; Parity (physics); Optimal decision; Constraint (computer-aided design); Binary number; Group (periodic table); Admissible decision rule,0,TRUE,green,https://doi.org/10.48550/arxiv.2206.02237,; ;,"Baumann, Joachim; Hannák, Anikó; Heitz, Christoph",7.98103,11.12758,7.98103,11.12758,7.19758,-0.39422,6.45951,8.90769,7.63435,-1.89129,1.0374,7.63435,-1.89129,1.0374,5.47292,-1.63201,2.49572,7.64365,2.66076,7.88649,5,Psychology · Mathematics
11,Semantic Web technologies and bias in artificial intelligence: A systematic literature review,doi.org/10.3233/SW-223041,Graph-Based Fairness & Bias Mitigation,2023,Paula Reyero Lobo; Enrico Daga; Harith Alani; Miriam Fernández,UK; UK; UK; UK,"Bias in Artificial Intelligence (AI) is a critical and timely issue due to its sociological, economic and legal impact, as decisions made by biased algorithms could lead to unfair treatment of specific individuals or groups. Multiple surveys have emerged to provide a multidisciplinary view of bias or to review bias in specific areas such as social sciences, business research, criminal justice, or data mining. Given the ability of Semantic Web (SW) technologies to support multiple AI systems, we review the extent to which semantics can be a “tool” to address bias in different algorithmic scenarios. We provide an in-depth categorisation and analysis of bias assessment, representation, and mitigation approaches that use SW technologies. We discuss their potential in dealing with issues such as representing disparities of specific demographics or reducing data drifts, sparsity, and missing values. We find research works on AI bias that apply semantics mainly in information retrieval, recommendation and natural language processing applications and argue through multiple use cases that semantics can help deal with technical, sociological, and psychological challenges.",Semantics (computer science); Data science; Computer science; Multidisciplinary approach; Semantic Web; Cognitive bias; Distributional semantics; Artificial intelligence; Psychology; Cognition; Sociology; Social science,24,TRUE,hybrid,https://content.iospress.com:443/download/semantic-web/sw223041?id=semantic-web%2Fsw223041,United Kingdom; United Kingdom; United Kingdom; United Kingdom,Paula Reyero Lobo; Enrico Daga; Harith Alani; Miriam Fernández,6.16712,10.86078,6.16712,10.86078,6.0653,1.4294,6.04568,5.70192,9.01717,-0.91448,1.92721,9.01717,-0.91448,1.92721,4.15622,-0.84157,1.27984,5.96788,1.92832,4.37314,5,Psychology · Mathematics
