citing_SN,cited_SN
1,366
2,371
4,366
4,2
4,94
4,5
4,66
4,6
4,359
4,358
5,372
6,18
6,365
9,38
9,377
9,368
9,365
9,366
9,16
11,38
11,94
11,37
11,263
11,355
11,98
12,377
12,65
12,368
12,367
12,375
13,377
13,369
16,368
16,371
16,366
16,364
16,363
16,357
17,376
17,375
18,38
18,375
19,377
23,40
23,377
23,65
23,368
23,367
23,7
23,27
23,375
24,40
24,377
24,374
24,65
24,368
24,27
24,375
25,377
25,374
26,376
26,374
27,40
27,377
28,27
28,54
28,57
28,56
28,29
28,51
29,40
29,377
29,27
29,31
29,54
29,23
29,56
30,38
30,40
30,377
30,65
30,368
30,367
30,7
30,31
30,366
30,36
30,375
31,40
31,377
31,376
31,374
31,18
31,65
31,372
31,368
31,370
31,365
31,7
32,38
32,40
32,377
32,368
32,74
33,367
33,366
36,40
36,377
36,374
36,65
36,368
37,38
37,40
37,377
37,74
37,375
39,40
39,377
40,377
41,38
41,40
41,377
41,366
42,38
42,377
42,374
42,65
42,74
42,396
42,45
42,361
42,44
43,377
43,37
43,396
43,355
43,45
43,344
45,38
45,377
45,374
45,65
45,74
45,37
45,375
47,48
49,40
49,377
49,372
49,355
50,40
50,377
50,374
50,65
50,368
50,375
51,40
51,377
51,374
51,7
51,54
51,23
51,29
52,38
52,40
52,377
52,376
52,374
52,65
52,368
52,367
52,19
52,375
52,269
52,149
53,40
53,377
53,27
53,54
53,23
53,57
53,29
54,373
54,27
56,40
56,377
56,27
56,29
57,27
57,54
58,374
59,40
59,376
59,374
59,65
59,372
59,368
60,38
60,376
60,94
60,63
60,32
60,410
61,40
61,377
61,376
61,374
61,65
61,368
61,367
61,7
61,375
63,40
64,40
64,374
65,377
65,376
65,374
66,38
66,40
66,377
66,374
66,18
66,65
66,368
66,367
66,365
66,7
67,40
67,377
67,374
67,65
67,368
67,367
67,366
67,36
67,375
69,366
69,364
69,363
70,68
71,358
71,16
73,370
73,366
74,377
76,377
76,374
76,369
76,368
76,365
76,355
81,94
81,396
81,355
81,259
84,376
84,410
84,88
90,369
90,355
91,355
93,355
93,6
94,38
94,377
94,65
94,368
94,367
94,375
95,368
100,368
101,369
104,396
104,52
104,66
104,269
104,42
105,396
106,228
108,396
110,371
110,366
111,94
111,52
111,397
111,410
112,94
114,366
114,363
115,340
115,9
117,377
117,371
118,366
118,359
119,120
122,337
123,377
123,339
126,342
126,422
128,40
130,359
131,355
133,355
133,76
134,377
134,372
134,52
134,42
136,437
136,193
136,76
137,355
138,342
139,184
140,369
140,75
140,9
140,76
142,355
142,358
142,391
142,76
144,342
151,377
151,263
152,40
152,355
155,377
155,353
155,410
156,377
157,377
157,74
157,36
157,175
157,164
158,74
158,396
158,66
159,259
160,368
160,54
160,37
160,45
160,264
160,170
161,45
162,74
162,42
163,259
164,375
164,175
165,37
165,264
166,42
167,269
168,42
169,42
170,45
170,264
171,264
174,45
174,42
175,74
176,189
177,366
177,437
177,340
177,337
177,9
178,366
178,357
179,366
179,391
180,365
180,371
180,364
180,357
180,435
183,376
183,369
183,366
183,355
183,342
183,76
185,76
187,377
187,355
188,369
188,365
188,355
